prompt,domain,quality_band,clarity,context,relevance,specificity,creativity
Write basic code.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain programming.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
Make a simple app.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe coding.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about software.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List programming terms.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Create a variable.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Write a function.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain debugging.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
Describe an algorithm.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a website.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Talk about databases.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List data types.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain variables.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Create a class.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe methods.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about objects.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain inheritance.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List OOP concepts.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a simple game.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe APIs.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about frameworks.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain libraries.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List tools.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a script.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe syntax.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about compilers.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain interpreters.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List languages.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
